Barris;Població;1;2;3;4;5;6;7;8;9;10;11;12
BARCELONA            ;1.060.350  ;7,1  ;7,0  ;7,0  ;6,8  ;6,6  ;6,4  ;6,4  ;6,6  ;6,5  ;6,6  ;6,6  ;6,5  
1     1. el Raval  ;35.577  ;9,8  ;9,6  ;9,6  ;9,3  ;8,8  ;8,6  ;8,6  ;8,5  ;8,7  ;9,0  ;9,3  ;9,3  
1     2. el Barri Gòtic  ;13.388  ;6,9  ;6,7  ;6,9  ;6,6  ;6,4  ;6,1  ;6,1  ;6,4  ;6,4  ;6,8  ;6,7  ;6,5  
1     3. la Barceloneta  ;10.928  ;9,6  ;9,3  ;9,1  ;8,8  ;8,5  ;8,3  ;8,3  ;8,5  ;8,5  ;8,6  ;8,8  ;8,9  
1     4. Sant Pere, Santa Caterina i la Ribera  ;17.084  ;8,5  ;8,2  ;8,0  ;7,7  ;7,5  ;7,3  ;7,3  ;7,6  ;7,5  ;7,6  ;7,8  ;7,9  
2     5. el Fort Pienc  ;21.304  ;6,0  ;5,9  ;5,9  ;5,8  ;5,6  ;5,5  ;5,6  ;5,6  ;5,5  ;5,6  ;5,5  ;5,4  
2     6. la Sagrada Família  ;34.381  ;6,0  ;5,9  ;5,9  ;5,7  ;5,6  ;5,4  ;5,5  ;5,6  ;5,5  ;5,6  ;5,5  ;5,4  
2     7. la Dreta de l'Eixample  ;28.960  ;4,6  ;4,6  ;4,5  ;4,3  ;4,3  ;4,2  ;4,3  ;4,3  ;4,2  ;4,3  ;4,2  ;4,2  
2     8. l'Antiga Esquerra de l'Eixample  ;28.563  ;5,3  ;5,2  ;5,2  ;5,0  ;4,8  ;4,7  ;4,7  ;5,0  ;5,0  ;5,0  ;5,0  ;5,0  
2     9. la Nova Esquerra de l'Eixample  ;38.127  ;5,8  ;5,7  ;5,7  ;5,5  ;5,4  ;5,2  ;5,2  ;5,5  ;5,3  ;5,3  ;5,4  ;5,4  
2     10. Sant Antoni  ;25.468  ;6,4  ;6,3  ;6,3  ;6,0  ;5,8  ;5,7  ;5,7  ;6,0  ;5,8  ;5,8  ;5,8  ;5,9  
3     11. el Poble Sec - AEI Parc Montjuïc  ;28.154  ;8,3  ;8,2  ;8,2  ;7,9  ;7,6  ;7,4  ;7,4  ;7,5  ;7,4  ;7,5  ;7,5  ;7,5  
3     12. la Marina del Prat Vermell - AEI Zona Franca  ;784  ;14,4  ;14,5  ;14,0  ;14,0  ;13,7  ;12,8  ;12,5  ;12,2  ;12,4  ;13,2  ;12,7  ;12,3  
3     13. la Marina de Port  ;20.134  ;8,7  ;8,5  ;8,6  ;8,3  ;8,3  ;8,0  ;7,9  ;8,2  ;8,1  ;8,4  ;8,3  ;8,2  
3     14. la Font de la Guatlla  ;6.837  ;8,7  ;8,5  ;8,5  ;8,2  ;7,9  ;7,7  ;7,6  ;7,8  ;7,7  ;7,8  ;7,8  ;7,8  
3     15. Hostafrancs  ;10.997  ;6,7  ;6,7  ;6,8  ;6,6  ;6,3  ;6,1  ;6,2  ;6,3  ;6,1  ;6,2  ;6,3  ;6,1  
3     16. la Bordeta  ;12.230  ;7,1  ;7,0  ;7,2  ;6,9  ;6,7  ;6,5  ;6,6  ;6,7  ;6,5  ;6,5  ;6,6  ;6,5  
3     17. Sants - Badal  ;15.846  ;5,6  ;5,6  ;5,6  ;5,4  ;5,4  ;5,3  ;5,3  ;5,6  ;5,4  ;5,6  ;5,6  ;5,5  
3     18. Sants  ;27.531  ;6,3  ;6,3  ;6,4  ;6,1  ;6,0  ;5,8  ;5,9  ;6,1  ;5,9  ;6,0  ;6,1  ;5,9  
4     19. les Corts  ;28.255  ;6,2  ;6,2  ;6,2  ;6,0  ;5,9  ;5,7  ;5,8  ;6,0  ;5,8  ;5,9  ;6,0  ;5,9  
4     20. la Maternitat i Sant Ramon  ;14.546  ;6,0  ;6,0  ;6,1  ;5,8  ;5,8  ;5,7  ;5,7  ;6,0  ;5,9  ;6,0  ;6,0  ;6,0  
4     21. Pedralbes  ;7.068  ;3,3  ;3,2  ;3,1  ;3,0  ;2,9  ;2,9  ;3,0  ;3,1  ;3,1  ;3,1  ;3,1  ;3,1  
5     22. Vallvidrera, el Tibidabo i les Planes  ;3.078  ;3,0  ;3,0  ;3,0  ;3,0  ;2,9  ;2,8  ;3,0  ;3,2  ;2,9  ;3,0  ;3,0  ;3,0  
5     23. Sarrià  ;14.988  ;3,3  ;3,2  ;3,2  ;3,1  ;3,0  ;3,0  ;3,1  ;3,2  ;3,1  ;3,1  ;3,2  ;3,2  
5     24. les Tres Torres  ;10.016  ;3,6  ;3,6  ;3,6  ;3,5  ;3,5  ;3,4  ;3,5  ;3,7  ;3,5  ;3,5  ;3,6  ;3,6  
5     25. Sant Gervasi - la Bonanova  ;15.689  ;3,8  ;3,7  ;3,7  ;3,6  ;3,5  ;3,4  ;3,5  ;3,6  ;3,3  ;3,3  ;3,4  ;3,5  
5     26. Sant Gervasi - Galvany  ;29.571  ;3,6  ;3,6  ;3,6  ;3,5  ;3,4  ;3,3  ;3,4  ;3,4  ;3,4  ;3,5  ;3,6  ;3,6  
5     27. el Putxet i el Farró  ;18.879  ;5,1  ;5,0  ;5,1  ;4,9  ;4,7  ;4,6  ;4,8  ;4,9  ;4,8  ;4,9  ;4,9  ;4,8  
6     28. Vallcarca i els Penitents  ;9.886  ;6,3  ;6,2  ;6,3  ;6,0  ;5,8  ;5,7  ;5,8  ;6,1  ;5,9  ;6,0  ;6,0  ;5,8  
6     29. el Coll  ;4.875  ;5,3  ;5,3  ;5,4  ;5,1  ;4,8  ;4,8  ;4,9  ;5,1  ;5,0  ;5,1  ;5,0  ;4,9  
6     30. la Salut  ;8.192  ;6,5  ;6,4  ;6,5  ;6,3  ;6,2  ;6,0  ;6,1  ;6,4  ;6,2  ;6,3  ;6,2  ;6,2  
6     31. la Vila de Gràcia  ;34.562  ;6,1  ;6,0  ;6,0  ;5,8  ;5,7  ;5,5  ;5,6  ;5,8  ;5,5  ;5,5  ;5,6  ;5,6  
6     32. el Camp d'en Grassot i Gràcia Nova  ;22.106  ;6,1  ;5,9  ;5,9  ;5,7  ;5,6  ;5,4  ;5,5  ;5,7  ;5,5  ;5,7  ;5,6  ;5,6  
7     33. el Baix Guinardó  ;16.411  ;6,3  ;6,2  ;6,2  ;5,9  ;5,9  ;5,7  ;5,7  ;6,0  ;5,8  ;5,9  ;5,8  ;5,8  
7     34. Can Baró  ;5.858  ;6,5  ;6,5  ;6,5  ;6,3  ;6,2  ;6,0  ;6,2  ;6,4  ;6,2  ;6,3  ;6,2  ;6,2  
7     35. el Guinardó  ;23.768  ;7,0  ;6,9  ;6,8  ;6,7  ;6,5  ;6,3  ;6,4  ;6,6  ;6,4  ;6,5  ;6,4  ;6,3  
7     36. la Font d'en Fargues  ;5.801  ;8,7  ;8,7  ;8,7  ;8,3  ;8,2  ;8,0  ;8,0  ;8,2  ;8,0  ;8,2  ;8,1  ;8,0  
