Barris;Població;1;2;3;4;5;6;7;8;9;10
8     50. les Roquetes  ;10.354  ;9,2  ;9,3  ;9,5  ;9,1  ;8,9  ;8,7  ;8,6  ;8,6  ;8,6  ;8,9  
8     51. Verdun  ;7.921  ;9,2  ;9,3  ;9,5  ;9,1  ;8,9  ;8,7  ;8,6  ;8,7  ;8,6  ;8,9  
8     52. la Prosperitat  ;16.301  ;8,3  ;8,4  ;8,5  ;8,5  ;8,3  ;8,0  ;7,9  ;8,0  ;8,0  ;8,4  
8     53. la Trinitat Nova  ;4.871  ;12,9  ;13,0  ;13,3  ;13,0  ;12,7  ;12,3  ;12,3  ;12,0  ;12,1  ;12,5  
8     54. Torre Baró  ;1.965  ;8,9  ;8,9  ;9,1  ;8,9  ;8,7  ;8,4  ;8,4  ;8,2  ;8,3  ;8,6  
8     55. Ciutat Meridiana  ;6.921  ;13,1  ;13,2  ;13,5  ;13,2  ;12,9  ;12,5  ;12,5  ;12,2  ;12,2  ;12,7  
8     56. Vallbona  ;877  ;12,0  ;12,1  ;12,4  ;12,1  ;11,8  ;11,5  ;11,4  ;11,2  ;11,2  ;11,6  
9     57. la Trinitat Vella  ;6.687  ;12,6  ;12,7  ;13,0  ;12,6  ;12,4  ;12,0  ;12,0  ;11,7  ;11,7  ;12,2  
9     58. Baró de Viver  ;1.675  ;6,9  ;6,9  ;7,0  ;7,0  ;6,8  ;6,7  ;6,9  ;7,1  ;6,8  ;7,0  
9     59. el Bon Pastor  ;8.151  ;8,0  ;8,1  ;8,1  ;8,2  ;7,9  ;7,8  ;8,0  ;8,3  ;8,0  ;8,2  
9     60. Sant Andreu  ;36.671  ;7,2  ;7,2  ;7,3  ;7,4  ;7,1  ;7,0  ;7,2  ;7,5  ;7,2  ;7,3  
9     61. la Sagrera  ;18.483  ;6,6  ;6,6  ;6,7  ;6,7  ;6,4  ;6,3  ;6,2  ;6,5  ;6,4  ;6,5  
9     62. el Congrés i els Indians  ;9.078  ;6,6  ;6,6  ;6,6  ;6,6  ;6,4  ;6,2  ;6,2  ;6,4  ;6,3  ;6,4  
9     63. Navas  ;14.065  ;6,5  ;6,5  ;6,5  ;6,5  ;6,3  ;6,2  ;6,1  ;6,4  ;6,3  ;6,4  
10     64. el Camp de l'Arpa del Clot  ;25.043  ;7,0  ;7,0  ;7,1  ;7,0  ;6,9  ;6,6  ;6,8  ;7,0  ;6,7  ;6,8  
10     65. el Clot  ;18.027  ;6,7  ;6,7  ;6,8  ;6,7  ;6,5  ;6,3  ;6,4  ;6,7  ;6,5  ;6,5  
10     66. el Parc i la Llacuna del Poblenou  ;10.425  ;5,6  ;5,6  ;5,7  ;5,6  ;5,4  ;5,3  ;5,4  ;5,6  ;5,5  ;5,5  
10     67. la Vila Olímpica del Poblenou  ;6.470  ;6,0  ;5,9  ;6,0  ;5,8  ;5,7  ;5,6  ;5,7  ;6,0  ;6,0  ;6,1  
10     68. el Poblenou  ;22.694  ;5,9  ;5,8  ;5,9  ;5,7  ;5,6  ;5,5  ;5,6  ;5,9  ;5,8  ;5,9  
10     69. Diagonal Mar i el Front Marítim del Poblenou  ;8.864  ;7,0  ;7,0  ;7,2  ;7,0  ;6,8  ;6,6  ;6,5  ;6,7  ;6,6  ;6,8  
10     70. el Besòs i el Maresme  ;15.685  ;9,1  ;9,0  ;9,3  ;9,0  ;8,8  ;8,5  ;8,5  ;8,6  ;8,5  ;8,8  
10     71. Provençals del Poblenou  ;13.932  ;6,8  ;6,8  ;6,9  ;6,7  ;6,6  ;6,4  ;6,4  ;6,7  ;6,6  ;6,7  
10     72. Sant Martí de Provençals  ;16.071  ;8,2  ;8,1  ;8,1  ;8,0  ;7,8  ;7,6  ;7,7  ;8,1  ;8,0  ;8,1  
10     73. la Verneda i la Pau  ;17.461  ;8,5  ;8,4  ;8,5  ;8,3  ;8,1  ;8,0  ;8,0  ;8,4  ;8,3  ;8,5  
