Barris;Població;1;2;3;4;5;6;7;8;9;10;11;12
8     56. Vallbona  ;869  ;13,1  ;13,3  ;13,5  ;13,3  ;12,8  ;12,1  ;11,6  ;11,8  ;12,1  ;12,6  ;13,0  ;12,7  
9     57. la Trinitat Vella  ;6.687  ;13,6  ;13,9  ;14,0  ;13,8  ;13,2  ;12,5  ;12,1  ;12,2  ;12,6  ;13,0  ;13,5  ;13,2  
9     58. Baró de Viver  ;1.669  ;7,9  ;7,9  ;7,8  ;7,6  ;7,4  ;7,1  ;7,0  ;7,3  ;7,1  ;7,3  ;7,3  ;7,2  
9     59. el Bon Pastor  ;7.975  ;9,4  ;9,4  ;9,3  ;9,0  ;8,8  ;8,4  ;8,3  ;8,6  ;8,5  ;8,7  ;8,7  ;8,6  
9     60. Sant Andreu  ;36.467  ;8,3  ;8,3  ;8,3  ;8,0  ;7,8  ;7,5  ;7,4  ;7,6  ;7,5  ;7,7  ;7,7  ;7,6  
9     61. la Sagrera  ;18.520  ;7,5  ;7,5  ;7,5  ;7,3  ;7,1  ;6,9  ;6,8  ;7,1  ;6,9  ;6,9  ;7,0  ;6,9  
9     62. el Congrés i els Indians  ;8.949  ;7,6  ;7,6  ;7,5  ;7,4  ;7,2  ;7,0  ;6,9  ;7,1  ;6,9  ;7,0  ;7,0  ;6,9  
9     63. Navas  ;14.054  ;7,4  ;7,5  ;7,4  ;7,2  ;7,0  ;6,8  ;6,8  ;7,0  ;6,8  ;6,8  ;6,9  ;6,8  
10     64. el Camp de l'Arpa del Clot  ;25.027  ;8,1  ;8,1  ;8,1  ;7,9  ;7,8  ;7,4  ;7,3  ;7,4  ;7,4  ;7,6  ;7,5  ;7,4  
10     65. el Clot  ;18.138  ;7,6  ;7,6  ;7,5  ;7,3  ;7,2  ;7,0  ;6,9  ;7,1  ;6,9  ;7,0  ;7,1  ;7,0  
10     66. el Parc i la Llacuna del Poblenou  ;10.394  ;6,5  ;6,4  ;6,4  ;6,1  ;6,0  ;5,9  ;5,9  ;6,1  ;5,8  ;5,9  ;6,0  ;5,9  
10     67. la Vila Olímpica del Poblenou  ;6.551  ;6,9  ;6,7  ;6,8  ;6,3  ;6,3  ;6,1  ;6,0  ;6,1  ;5,9  ;6,0  ;6,1  ;6,1  
10     68. el Poblenou  ;22.610  ;6,8  ;6,7  ;6,7  ;6,3  ;6,3  ;6,1  ;6,0  ;6,2  ;5,9  ;6,0  ;6,1  ;6,1  
10     69. Diagonal Mar i el Front Marítim del Poblenou  ;8.853  ;8,0  ;7,9  ;8,0  ;7,8  ;7,5  ;7,2  ;7,1  ;7,3  ;7,2  ;7,5  ;7,7  ;7,4  
10     70. el Besòs i el Maresme  ;15.224  ;10,6  ;10,6  ;10,6  ;10,4  ;10,0  ;9,6  ;9,4  ;9,7  ;9,6  ;10,0  ;10,3  ;9,9  
10     71. Provençals del Poblenou  ;13.873  ;7,8  ;7,9  ;7,8  ;7,6  ;7,4  ;7,2  ;7,1  ;7,3  ;7,2  ;7,4  ;7,5  ;7,3  
10     72. Sant Martí de Provençals  ;16.078  ;9,4  ;9,5  ;9,5  ;9,3  ;9,0  ;8,7  ;8,6  ;8,7  ;8,7  ;9,0  ;9,0  ;8,8  
10     73. la Verneda i la Pau  ;17.390  ;9,8  ;10,0  ;9,9  ;9,7  ;9,4  ;9,1  ;8,9  ;9,1  ;9,1  ;9,4  ;9,4  ;9,2 
